Gene	HPV_positive_rates	HPV_negative_rates
ACOT12	1.862774e-06	2.961154e-06
ACOT13	3.378737e-07	2.903232e-06
ACOT2	1.386018e-06	1.229898e-06
ACOT4	1.043489e-06	1.476733e-06
ACOT6	1.525168e-06	1.306707e-06
ACOT7	1.638247e-06	1.830542e-06
ACOT8	1.287215e-06	1.67395e-06
ACOT9	1.452995e-06	1.467171e-06
ACOX1	2.959275e-07	1.632364e-06
ACOX2	7.986748e-07	1.867553e-06
ACOX3	2.038254e-06	1.744264e-06
ACOXL	4.389881e-07	3.488123e-07
ACP1	7.791524e-07	1.788077e-06
ACP2	1.249095e-06	1.605268e-06
ACP5	1.841252e-06	1.931652e-06
ACP6	0	4.069551e-07
ACPL2	1.101106e-06	1.600388e-06
ACPP	5.752919e-07	2.640475e-06
ACPT	1.217367e-06	1.519449e-06
ACR	1.780136e-06	1.015173e-06
ACRBP	1.734517e-06	2.415025e-06
ACRC	5.514851e-07	1.392164e-06
ACRV1	9.923485e-07	2.580986e-06
ACSBG1	9.112456e-07	2.695347e-06
ACSBG2	9.413783e-07	1.330028e-06
ACSF2	5.570708e-07	1.668172e-06
ACSF3	7.479745e-07	1.920448e-06
ACSL1	1.13026e-06	0
ACSL3	1.291776e-06	1.334023e-06
ACSL4	1.317104e-06	1.549871e-06
ACSL5	1.754935e-06	1.342467e-06
ACSL6	6.253211e-07	1.697776e-06
ACSM1	1.170507e-06	2.689887e-06
ACSM2A	1.090747e-06	3.575321e-06
ACSM2B	1.590135e-06	3.524856e-06
ACSM3	7.578175e-07	4.3772e-06
ACSM4	1.255056e-06	1.36178e-06
ACSM5	7.437521e-07	5.33645e-06
ACSS1	1.019306e-06	2.295012e-06
ACSS2	1.152395e-06	1.270474e-06
ACSS3	2.736332e-06	5.337e-06
ACTA1	1.789292e-06	1.965065e-06
ACTA2	1.979189e-06	2.989116e-06
ACTB	1.701277e-06	1.561704e-06
ACTBL2	7.632988e-07	1.751695e-06
ACTC1	2.134332e-07	6.85731e-07
ACTG1	1.364486e-06	2.937463e-06
ACTG2	1.489473e-06	1.797506e-06
ACTL6A	9.605059e-07	1.548018e-06
ACTL6B	2.112065e-06	2.757518e-06
ACTL7A	1.506288e-06	2.381338e-06
ACTL7B	1.063864e-06	3.195717e-06
ACTL8	0	1.747352e-06
ACTL9	2.08203e-06	2.866831e-06
ACTN1	1.568819e-06	1.191728e-06
ACTN2	1.47678e-06	3.523172e-06
ACTN3	1.820269e-06	1.566835e-06
ACTN4	7.25593e-07	0
ACTR10	8.218487e-07	1.477988e-06
ACTR1A	1.062655e-06	1.300633e-06
ACTR1B	8.073058e-07	4.003783e-06
ACTR2	1.259473e-06	1.689868e-06
ACTR3	5.994686e-07	1.329863e-06
ACTR3B	1.803422e-06	1.896893e-06
ACTR3C	1.944814e-06	1.924115e-06
ACTR5	2.685285e-07	1.60224e-06
ACTR6	1.711574e-06	3.973647e-06
ACTR8	1.609769e-06	1.395609e-06
ACTRT1	3.279075e-06	4.821118e-06
ACTRT2	1.588909e-06	7.873917e-06
ACVR1	4.178633e-07	9.589546e-07
ACVR1B	1.74498e-06	1.548428e-06
ACVR1C	1.338719e-06	1.225363e-06
ACVR2A	0	7.491436e-07
ACVR2B	2.061982e-06	1.689554e-06
ACVRL1	2.337258e-06	2.324302e-06
ACY1	9.754175e-07	1.6913e-06
ACY3	1.354159e-06	1.491677e-06
ACYP1	1.220381e-06	1.941785e-06
ACYP2	5.225156e-07	1.598828e-06
ADA	7.557888e-07	1.837791e-06
ADAD1	2.144335e-06	2.95262e-06
