Gene	HPV_positive_rates	HPV_negative_rates
C12orf59	1.523335e-06	1.514891e-06
C12orf60	1.905437e-06	1.491454e-05
C12orf61	7.364391e-07	2.253406e-06
C12orf62	2.300333e-06	1.929328e-06
C12orf63	6.122319e-07	3.022084e-06
C12orf64	9.960655e-07	4.178845e-07
C12orf65	1.966097e-06	1.804798e-06
C12orf66	2.605252e-06	1.594357e-06
C12orf68	2.113923e-06	1.570878e-06
C12orf69	1.760467e-06	2.064938e-06
C12orf70	1.940994e-06	1.920336e-06
C12orf71	1.237533e-06	1.476808e-06
C12orf72	1.943197e-06	1.922516e-06
C12orf73	2.061265e-06	1.92874e-06
C12orf74	4.297078e-07	9.20394e-07
C12orf75	2.299551e-06	1.929068e-06
C12orf76	1.617289e-06	1.59065e-06
C12orf77	9.082949e-07	2.640299e-06
C13orf1	1.945702e-06	1.924994e-06
C13orf15	1.94741e-06	1.926683e-06
C13orf16	1.947078e-06	1.926356e-06
C13orf18	1.929674e-06	1.909137e-06
C13orf23	1.913336e-06	6.577558e-07
C13orf26	1.942937e-06	1.922258e-06
C13orf27	1.94464e-06	1.923943e-06
C13orf28	1.945806e-06	1.925097e-06
C13orf30	1.947061e-06	1.926338e-06
C13orf31	1.937672e-06	1.917049e-06
C13orf33	1.127578e-06	2.672245e-06
C13orf34	1.934018e-06	1.913434e-06
C13orf35	9.751714e-07	1.790337e-06
C13orf36	2.057336e-06	1.927115e-06
C13orf37	2.060051e-06	1.928238e-06
C13orf38	1.943301e-06	1.922619e-06
C13orf39	1.942954e-06	1.922275e-06
C14orf1	1.479003e-06	1.538688e-06
C14orf101	1.813912e-06	1.626537e-06
C14orf102	1.266141e-06	9.960894e-07
C14orf104	1.920825e-06	7.572728e-07
C14orf105	1.399658e-06	1.968814e-06
C14orf106	1.917048e-06	7.036798e-07
C14orf109	1.919528e-06	2.153616e-06
C14orf115	1.924907e-06	8.248865e-07
C14orf118	1.249752e-06	2.055441e-06
C14orf119	1.021456e-06	7.645844e-06
C14orf126	1.182715e-06	1.881854e-06
C14orf129	1.391393e-06	1.45244e-06
C14orf135	2.551891e-06	1.602787e-06
C14orf138	1.943979e-06	1.923289e-06
C14orf142	7.832227e-07	2.156902e-06
C14orf143	1.946869e-06	1.926149e-06
C14orf145	1.917589e-06	7.108993e-07
C14orf147	2.061684e-06	1.928913e-06
C14orf148	1.938605e-06	1.917973e-06
C14orf149	2.54567e-07	2.297876e-06
C14orf153	1.945615e-06	1.924907e-06
C14orf156	2.058463e-06	1.927581e-06
C14orf159	1.02911e-06	1.871332e-06
C14orf166	3.365946e-07	2.574837e-06
C14orf166B	1.375076e-06	1.977549e-06
C14orf169	0	3.681787e-07
C14orf174	1.930034e-06	1.909493e-06
C14orf176	1.943632e-06	1.922945e-06
C14orf177	2.018489e-06	6.176309e-06
C14orf178	1.741248e-06	1.651676e-06
C14orf179	1.94391e-06	1.923221e-06
C14orf180	0	1.304537e-06
C14orf181	1.94471e-06	1.924012e-06
C14orf182	1.646405e-06	1.007556e-06
C14orf183	1.32197e-06	1.415768e-06
C14orf184	1.945667e-06	1.924959e-06
C14orf2	0	2.120596e-06
C14orf21	4.585081e-07	1.193739e-06
C14orf28	1.257015e-06	2.692409e-06
C14orf37	2.705689e-07	2.6079e-06
C14orf38	1.928065e-06	1.907545e-06
C14orf39	0	2.422176e-07
C14orf4	1.920554e-06	7.531572e-07
C14orf43	1.3366e-06	0
C14orf45	1.053233e-06	5.44255e-07
C14orf49	9.849635e-07	1.325605e-06
C14orf50	1.938519e-06	1.917887e-06
C14orf68	1.939591e-06	1.918948e-06
C14orf73	1.9238e-06	8.054104e-07
C14orf79	1.051075e-06	0
C14orf80	1.661894e-06	1.145093e-06
C14orf93	3.323046e-06	1.561526e-06
C15orf17	1.792485e-06	1.958845e-06
C15orf2	2.357738e-06	7.246062e-06
C15orf23	2.998421e-06	1.376216e-06
C15orf24	1.418702e-06	2.551121e-06
C15orf26	1.51563e-06	2.22606e-06
C15orf27	7.592334e-07	2.323803e-06
C15orf29	1.151699e-06	2.114428e-06
C15orf32	2.443606e-06	3.572396e-06
C15orf33	8.562547e-07	3.080172e-06
C15orf38	2.192094e-06	2.305708e-06
C15orf39	1.500223e-06	1.260543e-06
C15orf40	6.10157e-07	1.353574e-06
C15orf41	1.262637e-06	2.446883e-06
C15orf42	1.782188e-06	1.353144e-06
C15orf43	1.158031e-06	2.126052e-06
C15orf44	8.466547e-07	1.252148e-06
C15orf48	1.303716e-06	1.495949e-06
C15orf52	1.669315e-06	1.131031e-06
C15orf53	2.447319e-06	1.5809e-06
C15orf54	8.165852e-07	3.248235e-06
C15orf55	1.724653e-06	2.502308e-06
C15orf56	0	3.530668e-07
C15orf57	6.745313e-07	1.203986e-06
C15orf58	1.936792e-06	1.916178e-06
C15orf59	2.38501e-06	1.897432e-06
C15orf60	7.335998e-07	2.46919e-06
C15orf61	1.946172e-06	1.925459e-06
C15orf62	1.945075e-06	1.924374e-06
C15orf63	1.947567e-06	1.926839e-06
C16orf11	6.049107e-07	1.341936e-06
C16orf13	8.952407e-07	1.871867e-06
C16orf3	0	3.538782e-07
C16orf42	4.638943e-07	1.809805e-06
C16orf45	9.507393e-07	6.941097e-06
C16orf46	1.143016e-06	1.46894e-06
C16orf48	1.934076e-06	1.14663e-06
C16orf5	1.460433e-06	1.117183e-06
C16orf52	1.945684e-06	1.924976e-06
C16orf53	6.133547e-07	1.336372e-06
C16orf54	0	3.523599e-07
C16orf55	4.565941e-07	1.397117e-06
C16orf57	9.998105e-07	2.065019e-06
C16orf58	2.590189e-06	1.555382e-06
C16orf59	1.927869e-06	2.51394e-06
C16orf61	2.061935e-06	1.929016e-06
C16orf62	9.658294e-07	2.024538e-06
C16orf63	1.946189e-06	1.925476e-06
C16orf68	1.937482e-06	1.916861e-06
C16orf7	4.565941e-07	1.360435e-06
C16orf70	1.000328e-06	1.224348e-06
C16orf71	8.890896e-07	1.496273e-06
C16orf72	1.305771e-06	1.22618e-06
C16orf73	1.308317e-06	1.921573e-06
C16orf74	1.270291e-06	1.904592e-06
C16orf75	1.946137e-06	1.925424e-06
C16orf78	4.011872e-06	3.846416e-06
C16orf79	1.65518e-06	1.410861e-06
C16orf80	2.359834e-06	1.341002e-06
C16orf82	1.97285e-06	3.169246e-06
C16orf86	5.924962e-07	1.35972e-06
C16orf87	8.066019e-07	1.768801e-06
C16orf88	5.513907e-07	1.560644e-06
C16orf89	1.817245e-06	2.423744e-06
C16orf90	1.340135e-06	1.558241e-06
C16orf91	1.554349e-06	1.664636e-06
C16orf92	0	3.539517e-07
C16orf93	1.944031e-06	1.487119e-06
C17orf100	1.602265e-06	2.001943e-06
C17orf101	1.857688e-06	1.270022e-06
C17orf102	4.763592e-07	2.004194e-06
C17orf103	2.037952e-06	3.207016e-06
C17orf104	1.061526e-06	6.841391e-07
C17orf105	1.946921e-06	1.9262e-06
C17orf106	1.947672e-06	1.926942e-06
C17orf107	6.141171e-07	1.033514e-06
C17orf108	1.72196e-06	2.980235e-06
C17orf28	1.336061e-06	2.379072e-06
C17orf37	2.057419e-06	1.92715e-06
C17orf39	8.723743e-07	1.163295e-06
C17orf42	1.939816e-06	1.919171e-06
C17orf46	1.93845e-06	1.917819e-06
C17orf47	1.396286e-06	2.349848e-06
C17orf48	2.192734e-06	4.622082e-06
C17orf49	1.050485e-06	1.808069e-06
C17orf50	5.855895e-07	2.284578e-06
C17orf51	1.943493e-06	1.922808e-06
C17orf53	1.245788e-06	1.143584e-06
C17orf55	1.941462e-06	1.920799e-06
C17orf56	1.863567e-06	1.520605e-06
C17orf57	1.196799e-06	1.284892e-06
C17orf58	1.128877e-06	7.428124e-06
C17orf59	1.367606e-06	0
C17orf60	2.060637e-06	1.92848e-06
C17orf61	0	1.671456e-06
C17orf62	1.016488e-06	1.347805e-06
C17orf63	0	3.758127e-05
C17orf64	6.455474e-07	7.571941e-07
C17orf65	0	1.228569e-06
C17orf66	1.884317e-06	2.57246e-06
C17orf67	2.6732e-06	2.735066e-06
C17orf68	1.51234e-06	5.8212e-07
C17orf70	2.549073e-07	9.353701e-07
C17orf71	1.917048e-06	7.036798e-07
C17orf72	0	3.530387e-07
C17orf74	7.182453e-07	1.767733e-06
C17orf75	8.954067e-07	1.689559e-06
C17orf76	1.941705e-06	1.921039e-06
C17orf77	1.295106e-06	1.981426e-06
C17orf78	1.267204e-06	1.667314e-06
C17orf79	9.513926e-07	2.125128e-06
C17orf80	1.711155e-06	1.68297e-06
C17orf81	1.534003e-06	1.369039e-06
C17orf82	1.240648e-06	2.353655e-06
C17orf85	1.01296e-06	0
C17orf87	1.947357e-06	1.926632e-06
C17orf89	1.823753e-06	1.674132e-06
C17orf90	9.420514e-07	2.738424e-06
C17orf95	1.945493e-06	1.924787e-06
C17orf96	1.935498e-06	1.914899e-06
C17orf97	0	5.426566e-07
C17orf98	1.087228e-06	1.663387e-06
C17orf99	1.942607e-06	1.921932e-06
C18orf1	8.408908e-06	1.713138e-06
C18orf10	1.941774e-06	1.921108e-06
C18orf19	1.942346e-06	1.921674e-06
C18orf21	9.079108e-07	1.250139e-06
C18orf22	1.942451e-06	1.921777e-06
C18orf25	1.291367e-06	1.699107e-06
C18orf26	1.944466e-06	1.923771e-06
C18orf32	2.840825e-07	1.738509e-06
C18orf34	1.974579e-06	2.051152e-06
C18orf45	1.941618e-06	1.920953e-06
C18orf54	2.1075e-06	1.853993e-06
C18orf55	1.943406e-06	1.922722e-06
C18orf56	0	3.534777e-07
C18orf62	1.369153e-06	3.896165e-06
C18orf8	1.947502e-06	1.094866e-06
C19orf10	8.416966e-07	1.352127e-06
C19orf12	2.591231e-06	2.515023e-06
C19orf18	1.73514e-06	3.052845e-06
C19orf2	1.934637e-06	1.914047e-06
C19orf20	1.939833e-06	1.919188e-06
C19orf21	9.613607e-07	1.297929e-06
C19orf22	1.941809e-06	1.921142e-06
C19orf24	1.946294e-06	1.92558e-06
C19orf25	5.595118e-07	1.498028e-06
C19orf26	2.221495e-06	1.255445e-06
C19orf28	1.930548e-06	1.910001e-06
C19orf29	1.607306e-06	1.73187e-06
C19orf33	0	3.542061e-07
C19orf35	1.407041e-06	1.291607e-06
C19orf36	1.944483e-06	1.923788e-06
C19orf38	1.943562e-06	1.922877e-06
C19orf39	1.942485e-06	1.921811e-06
C19orf40	8.061046e-07	1.911594e-06
C19orf41	1.944083e-06	1.923393e-06
C19orf42	1.525168e-06	1.540047e-06
C19orf43	1.28351e-06	1.570948e-06
C19orf44	1.872503e-06	2.037194e-06
C19orf45	4.932528e-07	1.773413e-06
C19orf46	1.001227e-06	1.455219e-06
C19orf47	1.251058e-06	8.448447e-07
C19orf48	7.392376e-07	1.884974e-06
C19orf50	1.945841e-06	1.925131e-06
C19orf51	4.291034e-07	8.631611e-07
C19orf52	1.910901e-06	1.388687e-06
C19orf53	1.054153e-06	1.612783e-06
C19orf54	1.578387e-06	1.312648e-06
C19orf55	6.865025e-07	0
C19orf56	2.05934e-06	1.927944e-06
C19orf57	1.377507e-06	1.62592e-06
C19orf59	2.102663e-06	2.068029e-06
C19orf6	5.252044e-07	1.590726e-06
C19orf60	1.355857e-06	1.078673e-06
C19orf61	1.933261e-06	1.912685e-06
C19orf62	1.940734e-06	1.920079e-06
C19orf63	1.211019e-06	2.036083e-06
C19orf66	1.579592e-06	1.839407e-06
C19orf69	1.947235e-06	1.926511e-06
C19orf70	7.913916e-07	8.071843e-07
C19orf71	1.168544e-06	1.215701e-06
C19orf73	2.000863e-06	1.645388e-06
C19orf75	8.138682e-07	2.355838e-06
C19orf76	1.40629e-06	1.2192e-06
C19orf77	1.947706e-06	1.926977e-06
C1D	2.135181e-07	5.880032e-07
C1GALT1	6.103111e-07	1.493977e-06
C1GALT1C1	1.584566e-06	2.181852e-06
C1QA	2.649579e-06	2.297085e-06
C1QB	2.539753e-06	2.225419e-06
C1QBP	6.534743e-07	4.633154e-06
C1QC	2.332875e-06	2.355635e-06
C1QL1	1.440231e-06	1.145798e-06
C1QL2	2.272027e-06	2.317367e-06
C1QL3	7.110914e-07	1.212189e-06
C1QL4	1.472798e-06	1.480729e-06
C1QTNF1	0	3.194949e-06
C1QTNF2	1.53685e-06	2.176099e-06
C1QTNF3	2.16026e-07	4.957582e-07
C1QTNF4	1.021408e-06	2.327105e-06
C1QTNF5	6.13199e-07	1.031969e-06
C1QTNF6	7.84155e-07	1.599607e-06
C1QTNF7	2.54036e-06	2.040455e-06
C1QTNF8	1.357571e-06	1.626979e-06
C1QTNF9	5.290678e-07	1.618877e-06
C1QTNF9B	2.284842e-06	1.980872e-06
C1R	1.383266e-06	1.618135e-06
C1RL	9.662695e-07	1.226531e-06
C1S	1.906816e-06	1.750381e-06
C1orf100	5.260146e-07	1.005959e-06
C1orf101	1.176837e-06	1.188319e-06
C1orf103	1.925384e-06	8.335695e-07
C1orf104	1.942121e-06	1.921451e-06
C1orf105	1.156054e-06	2.080239e-06
C1orf106	1.000863e-06	2.220319e-06
C1orf107	1.927296e-06	8.702099e-07
C1orf109	6.680535e-07	1.533116e-06
C1orf110	1.838715e-06	2.69255e-06
C1orf111	0	1.061964e-06
C1orf112	2.115545e-06	1.553589e-06
C1orf113	1.924413e-06	8.16082e-07
C1orf114	4.995262e-07	5.592169e-06
C1orf115	1.248536e-06	2.024787e-06
C1orf116	1.168865e-06	1.395842e-06
C1orf122	1.69987e-06	1.092289e-06
C1orf123	6.786903e-07	1.505609e-06
C1orf124	1.92802e-06	2.129739e-06
C1orf125	1.920333e-06	7.498461e-07
C1orf127	1.097105e-06	1.395675e-06
C1orf128	1.944814e-06	1.924115e-06
C1orf129	1.389792e-06	2.182019e-06
C1orf130	2.057795e-06	1.927305e-06
C1orf131	5.481478e-07	1.42567e-06
C1orf135	6.99356e-07	1.78328e-06
C1orf14	1.929743e-06	1.909204e-06
C1orf141	2.941877e-06	2.946028e-06
C1orf144	3.220672e-06	1.816037e-06
C1orf146	4.674026e-07	2.002266e-06
C1orf150	2.977963e-06	4.28272e-06
C1orf151	2.061474e-06	1.928826e-06
C1orf156	1.939885e-06	1.919239e-06
C1orf158	1.073716e-06	3.3504e-06
C1orf159	7.134601e-06	1.801454e-06
C1orf161	1.939608e-06	1.918965e-06
C1orf162	8.511631e-07	1.432445e-06
C1orf163	1.944814e-06	1.924115e-06
C1orf168	1.146651e-06	5.061547e-06
C1orf172	2.299616e-06	1.439101e-06
C1orf173	1.378968e-06	2.928503e-06
C1orf174	1.803142e-06	9.655405e-07
C1orf175	1.508523e-06	5.676638e-07
C1orf177	6.777805e-07	1.772385e-06
C1orf182	1.674567e-06	1.601236e-06
C1orf183	1.941063e-06	1.920404e-06
C1orf185	1.945493e-06	1.924787e-06
C1orf186	1.609263e-06	1.600342e-06
C1orf187	2.652569e-06	1.926826e-06
C1orf189	8.466547e-07	1.252148e-06
C1orf190	1.942902e-06	1.922224e-06
C1orf192	1.516163e-06	2.126327e-06
C1orf194	2.160932e-06	1.558582e-06
C1orf198	1.023355e-06	1.722232e-06
C1orf201	5.390747e-07	1.519007e-06
C1orf204	0	3.524999e-07
C1orf21	1.529202e-06	2.807492e-06
C1orf210	1.623171e-06	1.490006e-06
C1orf212	2.059507e-06	1.928013e-06
C1orf213	1.096897e-06	1.636225e-06
C1orf216	1.140264e-06	1.535185e-06
C1orf223	1.944588e-06	1.923892e-06
C1orf226	0	6.991575e-07
C1orf227	1.239942e-06	2.086732e-06
C1orf228	1.936654e-06	1.916042e-06
C1orf229	1.941323e-06	1.920662e-06
C1orf230	2.060051e-06	1.928238e-06
C1orf25	1.927638e-06	8.770945e-07
C1orf26	1.924004e-06	8.089365e-07
C1orf27	9.092637e-07	1.182446e-06
C1orf31	9.124121e-07	1.842627e-06
C1orf35	1.45839e-06	1.970929e-06
C1orf38	1.409367e-06	1.408541e-06
C1orf43	1.56092e-06	1.313457e-06
C1orf49	1.238655e-06	2.690984e-06
C1orf50	1.31168e-06	1.645562e-06
C1orf51	2.202137e-06	1.443316e-06
C1orf52	1.134484e-06	1.865862e-06
C1orf53	6.82483e-07	2.053502e-06
C1orf54	2.427394e-06	1.4855e-06
C1orf55	3.100883e-06	1.423244e-06
C1orf56	1.296659e-06	1.428337e-06
C1orf57	1.944971e-06	1.92427e-06
C1orf58	1.938501e-06	1.91787e-06
C1orf59	1.938484e-06	1.917853e-06
C1orf61	1.469674e-06	1.573953e-06
C1orf63	8.583212e-07	1.794672e-06
C1orf64	1.064763e-06	1.50684e-06
C1orf65	1.409856e-06	3.451177e-06
C1orf66	1.935895e-06	1.915291e-06
C1orf68	1.94311e-06	1.92243e-06
C1orf69	1.937051e-06	1.916434e-06
C1orf70	1.94598e-06	1.925269e-06
C1orf74	1.086386e-06	1.772905e-06
C1orf77	1.942052e-06	1.921382e-06
C1orf83	1.944866e-06	1.924167e-06
C1orf84	1.945406e-06	1.924701e-06
C1orf85	1.249914e-06	2.049382e-06
C1orf86	7.774943e-07	2.00584e-06
C1orf87	1.554159e-06	4.23957e-06
C1orf88	1.214979e-06	2.639548e-06
C1orf89	1.942069e-06	1.921399e-06
C1orf9	1.560086e-06	2.344704e-06
C1orf91	1.946503e-06	1.925786e-06
C1orf92	1.931577e-06	1.91102e-06
C1orf93	1.944483e-06	1.923788e-06
C1orf94	1.870274e-06	2.146046e-06
C1orf95	1.064001e-06	2.360383e-06
C1orf96	2.200473e-06	2.06841e-06
C2	8.459299e-07	1.337357e-06
C20orf103	1.942537e-06	1.921863e-06
C20orf106	1.946207e-06	1.925493e-06
C20orf107	1.946172e-06	1.925459e-06
C20orf108	1.94417e-06	1.923479e-06
C20orf11	5.661785e-07	1.645809e-06
C20orf111	9.906527e-07	1.85665e-06
C20orf112	7.80187e-07	1.27321e-06
C20orf114	1.933897e-06	1.913315e-06
C20orf117	1.036455e-06	4.678824e-07
C20orf118	6.857229e-07	1.713547e-06
C20orf12	1.926033e-06	8.456502e-07
C20orf123	1.928579e-06	1.908053e-06
C20orf132	2.142595e-06	1.092676e-06
C20orf134	1.942069e-06	1.921399e-06
C20orf135	1.933072e-06	1.912498e-06
C20orf141	2.01749e-06	5.381784e-06
C20orf144	0	3.533369e-07
C20orf151	2.561215e-06	1.887999e-06
C20orf152	9.953472e-07	1.484745e-06
C20orf160	1.590891e-06	1.784902e-06
C20orf165	1.943093e-06	1.922413e-06
C20orf166	2.040131e-06	1.716696e-06
C20orf173	1.945266e-06	1.924563e-06
C20orf177	1.938242e-06	1.917613e-06
C20orf185	1.932505e-06	1.911937e-06
C20orf186	1.92786e-06	1.907342e-06
C20orf194	4.919468e-07	1.047376e-06
C20orf195	5.931145e-07	1.678738e-06
C20orf196	7.768414e-07	2.323349e-06
C20orf197	3.250347e-06	3.64673e-06
C20orf20	1.843774e-06	2.18616e-06
C20orf201	0	3.52041e-07
C20orf202	1.947584e-06	1.926856e-06
C20orf203	1.944414e-06	1.923719e-06
C20orf24	1.504881e-06	1.611657e-06
C20orf26	2.250428e-06	2.375673e-06
C20orf27	1.770729e-06	1.706075e-06
C20orf29	1.943875e-06	1.923186e-06
C20orf3	1.465e-06	3.724042e-06
C20orf30	1.175072e-06	1.887672e-06
C20orf4	1.567947e-06	1.405043e-06
C20orf43	8.037687e-07	1.92655e-06
C20orf46	1.941566e-06	1.920902e-06
C20orf54	1.933398e-06	1.912821e-06
C20orf7	2.066719e-06	2.529554e-06
C20orf70	1.942954e-06	1.922275e-06
C20orf71	1.943666e-06	1.92298e-06
C20orf72	1.692344e-06	2.25628e-06
C20orf79	5.581435e-07	1.211637e-05
C20orf85	2.363977e-06	2.33078e-06
C20orf94	5.653833e-07	1.816498e-06
C20orf96	1.037383e-06	1.745839e-06
C21orf2	7.629773e-07	1.595316e-06
C21orf29	1.927279e-06	8.698685e-07
C21orf33	2.066666e-06	1.146175e-06
C21orf45	1.944292e-06	1.923599e-06
C21orf56	6.259287e-07	1.532207e-06
C21orf57	1.945946e-06	1.925235e-06
C21orf58	1.093545e-06	2.26103e-06
C21orf59	1.408212e-06	1.46504e-06
C21orf63	1.451976e-06	1.021856e-06
C21orf7	2.132699e-06	1.060438e-06
C21orf70	1.943267e-06	1.922584e-06
C21orf91	5.443288e-07	1.629501e-06
C22orf13	1.680013e-06	1.432029e-06
C22orf15	1.128104e-06	1.725924e-06
C22orf23	1.485446e-06	1.212071e-06
C22orf24	0	3.738943e-07
C22orf25	2.709078e-06	2.240824e-06
C22orf26	1.945771e-06	1.925062e-06
C22orf28	2.441748e-06	2.166713e-06
C22orf29	0	3.508378e-07
C22orf30	9.952447e-07	4.169415e-07
C22orf31	1.835522e-06	3.008813e-06
C22orf32	1.968723e-06	2.088996e-06
C22orf33	1.942676e-06	1.922e-06
C22orf36	1.938813e-06	1.918178e-06
C22orf39	6.881323e-07	2.000314e-06
C22orf40	2.082791e-06	2.124354e-06
C22orf41	2.061307e-06	1.928757e-06
C22orf42	1.892781e-06	3.311317e-06
C22orf43	2.272126e-06	2.129173e-06
C22orf46	1.943145e-06	1.922464e-06
C22orf9	1.937327e-06	1.916708e-06
C2CD2	1.45688e-06	1.962859e-06
C2CD2L	2.138661e-06	1.400415e-06
C2CD3	1.658128e-06	9.794787e-07
C2CD4A	0	6.258241e-07
C2CD4B	1.93555e-06	1.91495e-06
C2CD4C	1.934792e-06	1.9142e-06
C2CD4D	1.936136e-06	1.91553e-06
C2orf15	0	3.539404e-07
C2orf16	1.37873e-06	1.322359e-06
C2orf18	1.623792e-06	1.552684e-06
C2orf24	1.936412e-06	1.915803e-06
C2orf27A	1.944223e-06	1.92353e-06
C2orf27B	1.943979e-06	1.923289e-06
C2orf28	1.375285e-06	1.507934e-06
C2orf29	1.935658e-06	6.193561e-06
C2orf3	1.927211e-06	8.685056e-07
C2orf34	1.940942e-06	1.920284e-06
C2orf39	1.928767e-06	1.908239e-06
C2orf40	0	5.705854e-07
C2orf42	1.415419e-06	1.21043e-06
C2orf43	1.082222e-06	1.545346e-06
C2orf44	6.118571e-07	1.497761e-06
C2orf47	6.337154e-07	1.939085e-06
C2orf48	1.369511e-06	1.766006e-06
C2orf49	2.047722e-06	1.370634e-06
C2orf50	1.175072e-06	1.975345e-06
C2orf51	7.506217e-07	1.914002e-06
C2orf53	3.048539e-07	1.958906e-06
C2orf54	7.516209e-07	9.489137e-06
C2orf55	1.298099e-06	1.671137e-06
C2orf56	2.03375e-06	1.477963e-06
C2orf57	1.527053e-06	1.642441e-06
C2orf60	1.941878e-06	1.921211e-06
C2orf61	1.835378e-06	1.778404e-06
C2orf62	2.223753e-06	2.211426e-06
C2orf63	1.621217e-06	1.594513e-06
C2orf64	2.061684e-06	1.928913e-06
C2orf65	2.095506e-06	1.638615e-06
C2orf66	5.650306e-07	2.420486e-06
C2orf67	1.920469e-06	7.518803e-07
C2orf68	2.441182e-06	1.161952e-06
C2orf69	9.631016e-07	1.768178e-06
C2orf7	1.945336e-06	1.924632e-06
C2orf70	1.262903e-06	2.077069e-06
C2orf71	2.601697e-06	1.146383e-06
C2orf72	1.939159e-06	1.91852e-06
C2orf73	1.123252e-06	0
C2orf74	1.945632e-06	1.924925e-06
C2orf76	1.508813e-06	2.308384e-06
C2orf77	1.444883e-06	1.591614e-06
C2orf78	2.421558e-06	1.610904e-06
C2orf79	1.946747e-06	1.926028e-06
C2orf80	1.721502e-06	2.040455e-06
C2orf81	1.928784e-06	1.908256e-06
C2orf82	1.946677e-06	1.925959e-06
C2orf83	1.214002e-06	2.439919e-06
C2orf84	1.047202e-06	1.401881e-06
C2orf85	1.93012e-06	1.909577e-06
C2orf86	1.926903e-06	8.624251e-07
C2orf88	0	2.663806e-06
C2orf89	1.459271e-06	3.156292e-06
C3	1.566276e-06	1.591496e-06
C3AR1	6.717383e-06	5.138575e-06
C3orf1	1.941878e-06	1.921211e-06
C3orf10	2.061432e-06	1.928809e-06
C3orf14	9.395626e-07	1.509342e-06
C3orf15	1.026526e-06	1.51075e-06
C3orf16	1.933244e-06	1.912668e-06
C3orf17	8.131033e-07	2.054192e-06
C3orf18	0	1.561594e-06
C3orf19	4.785219e-07	1.574029e-06
C3orf20	1.125276e-06	1.830173e-06
C3orf21	1.937413e-06	1.916793e-06
C3orf22	6.457008e-07	2.914244e-06
C3orf23	1.859237e-06	1.3784e-06
C3orf24	1.596294e-06	1.234918e-06
C3orf26	2.317316e-06	2.402953e-06
C3orf27	5.558103e-07	1.828258e-06
C3orf30	1.588334e-06	2.67305e-06
C3orf31	1.941479e-06	1.920816e-06
C3orf32	4.504842e-07	1.998712e-06
C3orf33	0	2.442224e-07
C3orf34	1.946991e-06	1.926269e-06
C3orf35	6.639676e-07	2.590357e-06
C3orf36	2.546853e-06	1.983681e-06
C3orf37	2.883958e-07	1.588415e-06
C3orf38	1.213494e-06	2.564681e-07
C3orf39	2.682985e-06	1.09388e-06
C3orf43	1.657755e-06	1.826103e-06
C3orf45	8.645164e-07	1.366741e-06
C3orf52	1.530413e-06	1.568889e-06
C3orf54	1.941011e-06	1.920353e-06
C3orf55	6.675202e-07	4.770341e-06
C3orf57	2.0616e-06	1.928878e-06
C3orf58	1.780473e-06	2.315404e-06
C3orf59	1.93524e-06	1.914643e-06
C3orf62	1.278472e-06	1.466982e-06
C3orf63	1.494561e-06	5.198816e-07
C3orf64	1.027108e-06	1.544325e-06
C3orf67	2.168693e-06	1.383987e-06
C3orf70	1.647044e-06	2.047393e-06
C3orf71	5.042536e-07	1.735818e-06
C3orf72	1.411559e-06	1.814056e-06
C3orf75	1.79163e-06	1.409696e-06
C3orf77	1.494522e-06	5.197597e-07
C3orf78	2.061558e-06	1.928861e-06
C3orf79	1.595269e-06	3.254207e-06
C4A	0	0
C4B	0	3.182111e-07
C4BPA	1.622989e-06	1.765362e-06
C4BPB	6.096565e-07	4.646252e-06
C4orf14	1.925947e-06	8.440407e-07
C4orf17	1.901281e-06	2.981555e-06
C4orf19	1.174225e-06	3.666768e-07
C4orf21	0	1.682743e-06
C4orf22	1.472143e-06	2.06459e-06
C4orf23	1.925112e-06	8.285855e-07
C4orf26	1.029754e-06	2.378907e-06
C4orf27	9.671991e-07	1.01478e-06
C4orf29	2.391149e-06	1.46332e-06
C4orf3	6.797302e-07	2.165856e-06
C4orf31	1.932745e-06	1.912175e-06
C4orf32	8.617406e-07	1.230512e-06
C4orf33	6.251098e-07	7.969803e-07
C4orf34	2.490069e-06	1.227551e-06
C4orf35	1.937828e-06	1.917203e-06
C4orf36	1.010758e-06	2.01031e-06
C4orf37	1.562835e-06	4.542963e-06
C4orf39	1.945632e-06	1.924925e-06
C4orf40	9.435386e-07	6.383767e-06
C4orf41	1.915308e-06	6.814059e-07
C4orf43	1.945998e-06	1.925286e-06
C4orf44	1.942034e-06	1.921365e-06
C4orf45	2.01965e-06	2.047078e-06
C4orf46	9.020339e-07	1.966574e-06
C4orf47	1.94193e-06	1.921262e-06
C4orf48	1.946416e-06	1.9257e-06
C4orf49	1.374915e-06	1.858117e-06
C4orf50	1.910461e-06	4.194656e-06
C4orf51	1.189666e-06	1.747306e-06
C4orf52	2.06181e-06	1.928964e-06
C4orf6	8.699654e-07	2.262682e-06
C4orf7	2.060009e-06	1.928221e-06
C5	1.477144e-06	1.388413e-06
C5AR1	9.604688e-07	1.653135e-06
C5orf13	2.058504e-06	1.927599e-06
C5orf15	1.36923e-06	1.131209e-06
C5orf20	5.325184e-07	1.873851e-06
C5orf22	1.332937e-06	1.780245e-06
C5orf23	2.057461e-06	1.927167e-06
C5orf24	7.603886e-07	1.473569e-06
C5orf25	4.616556e-07	1.65981e-06
C5orf28	0	1.329513e-06
C5orf30	1.765127e-06	2.268443e-06
C5orf32	2.059173e-06	1.927875e-06
C5orf33	1.936205e-06	1.915598e-06
