gene	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	r_x_X	r_n_N	r_nns_Nns	r_ns_Ns	r_nnc_Nnc	r_nsnc_Nsnc
CLLU1OS	323239	86681	0	0	0	0	50	43	22727075	1.892016e-06	0	0	0	NaN	0
CLMN	3086356	829661	0	10	4	0	7	10	2838696	3.522744e-06	3.575061e-06	3.240067e-06	4.821246e-06	NaN	4.821246e-06
CLN3	1343769	420168	0	1	2	0	4	2	2795996	7.153086e-07	1.700741e-06	7.441755e-07	4.760001e-06	NaN	4.760001e-06
CLN5	1243851	342027	0	0	1	0	50	44	23179695	1.898213e-06	6.305655e-07	0	2.923746e-06	NaN	2.923746e-06
CLN6	950502	279258	0	2	0	0	50	33	19727400	1.672800e-06	1.626334e-06	2.104151e-06	0	NaN	0
CLN8	856135	251930	0	0	1	0	0	1	251930	3.969357e-06	9.024741e-07	0	3.969357e-06	NaN	3.969357e-06
CLNK	1412516	328363	0	0	1	0	50	35	23366294	1.497884e-06	5.744225e-07	0	3.045410e-06	NaN	3.045410e-06
CLNS1A	757498	190442	0	0	0	0	50	38	15771672	2.409383e-06	0	0	0	NaN	0
CLOCK	2676009	681492	0	3	1	0	50	27	22688645	1.190023e-06	1.191362e-06	1.121072e-06	1.467369e-06	NaN	1.467369e-06
CLP1	1253245	394121	0	1	0	0	50	20	19510911	1.025067e-06	6.070296e-07	7.979286e-07	0	NaN	0
CLPB	2176846	628544	0	5	2	0	50	43	27631597	1.556189e-06	2.495197e-06	2.296901e-06	3.181957e-06	NaN	3.181957e-06
CLPP	840763	253211	0	0	0	0	50	33	19344808	1.705884e-06	0	0	0	NaN	0
CLPS	349713	97356	0	0	1	0	12	9	4820403	1.867064e-06	2.236791e-06	0	1.027158e-05	NaN	1.027158e-05
CLPTM1	2065826	578158	0	4	1	0	50	31	24887695	1.245595e-06	1.891086e-06	1.936271e-06	1.729631e-06	NaN	1.729631e-06
CLPTM1L	1696044	459879	0	1	1	0	0	1	459879	2.174485e-06	9.276769e-07	5.896073e-07	2.174485e-06	NaN	2.174485e-06
CLPX	1955660	549976	0	5	0	0	20	5	8827798	5.663927e-07	1.995501e-06	2.556682e-06	0	NaN	0
CLRN1	762195	207522	0	1	2	0	7	10	2257976	4.428745e-06	3.093686e-06	1.312000e-06	9.637532e-06	NaN	9.637532e-06
CLRN2	699853	210938	0	1	1	0	20	20	6575373	3.041653e-06	2.195893e-06	1.428871e-06	4.740730e-06	NaN	4.740730e-06
CLRN3	688324	194285	0	0	0	0	50	107	23722839	4.510421e-06	0	0	0	NaN	0
CLSPN	4237548	1037610	0	8	0	0	0	0	1037610	0	1.516542e-06	1.887884e-06	0	NaN	0
CLSTN1	3050061	815997	0	2	3	0	8	6	3750341	1.599855e-06	1.293307e-06	6.557246e-07	3.676484e-06	NaN	3.676484e-06
CLSTN2	2969358	786534	0	10	5	0	4	5	2200331	2.272385e-06	3.993725e-06	3.367731e-06	6.357004e-06	NaN	6.357004e-06
CLSTN3	2928366	836493	0	3	3	0	50	32	18381496	1.740881e-06	1.593685e-06	1.024462e-06	3.586402e-06	NaN	3.586402e-06
CLTA	787815	199836	0	0	0	0	50	28	16643606	1.682328e-06	0	0	0	NaN	0
CLTB	723338	186172	0	1	0	0	50	22	16135903	1.363419e-06	1.099493e-06	1.382480e-06	0	NaN	0
CLTC	5227334	1372378	0	7	1	0	5	6	4626118	1.296984e-06	1.212174e-06	1.339115e-06	7.286622e-07	NaN	7.286622e-07
CLTCL1	5107774	1365119	0	6	1	0	9	6	6483995	9.253554e-07	1.081433e-06	1.174680e-06	7.325369e-07	NaN	7.325369e-07
CLU	1566663	413763	0	2	0	0	9	8	3986045	2.007002e-06	1.009884e-06	1.276599e-06	0	NaN	0
CLUAP1	1331813	315553	0	3	1	0	50	49	29749090	1.647109e-06	2.428119e-06	2.252568e-06	3.169040e-06	NaN	3.169040e-06
CLUL1	1492365	348432	0	1	1	0	50	57	23566557	2.418682e-06	1.086486e-06	6.700774e-07	2.870000e-06	NaN	2.870000e-06
CLVS1	1087996	296765	0	9	1	0	45	31	23674588	1.309421e-06	7.221463e-06	8.272089e-06	3.369670e-06	NaN	3.369670e-06
CLVS2	1006866	274134	0	6	3	0	1	11	1297653	8.476842e-06	7.025761e-06	5.959085e-06	1.094355e-05	NaN	1.094355e-05
CLYBL	1048712	305305	0	1	1	0	50	42	20472515	2.051531e-06	1.477086e-06	9.535506e-07	3.275413e-06	NaN	3.275413e-06
CMA1	752374	226310	0	4	0	0	50	39	17622717	2.213053e-06	4.087121e-06	5.316505e-06	0	NaN	0
CMAS	1339072	371063	0	0	1	0	0	1	371063	2.694960e-06	5.847492e-07	0	2.694960e-06	NaN	2.694960e-06
CMBL	778848	192150	0	2	0	0	50	36	24746785	1.454734e-06	2.059736e-06	2.567895e-06	0	NaN	0
CMC1	349713	76860	0	0	0	0	50	35	21418320	1.634115e-06	0	0	0	NaN	0
CMIP	2414258	690886	0	8	2	0	50	30	24565310	1.221234e-06	3.220463e-06	3.313648e-06	2.894834e-06	NaN	2.894834e-06
CMKLR1	1123864	323666	0	3	1	0	50	54	26458628	2.040922e-06	2.763328e-06	2.669362e-06	3.089605e-06	NaN	3.089605e-06
CMPK1	719922	185745	0	2	0	0	50	37	21542577	1.717529e-06	2.208317e-06	2.778079e-06	0	NaN	0
CMPK2	1313879	435967	0	0	0	0	50	32	25925732	1.234295e-06	0	0	0	NaN	0
CMTM1	859978	260897	0	3	0	0	50	62	26149480	2.370984e-06	2.676480e-06	3.488461e-06	0	NaN	0
CMTM2	757498	214781	0	2	0	0	50	55	26233599	2.096548e-06	2.057023e-06	2.640271e-06	0	NaN	0
CMTM3	558943	169946	0	0	1	0	3	4	1690066	2.366771e-06	1.371951e-06	0	5.884222e-06	NaN	5.884222e-06
CMTM4	716506	209657	0	1	0	0	50	29	22006299	1.317805e-06	1.079724e-06	1.395662e-06	0	NaN	0
CMTM5	479948	143899	0	1	0	0	50	38	25505137	1.489896e-06	1.602957e-06	2.083559e-06	0	NaN	0
CMTM6	556381	166103	0	0	0	0	16	12	5285833	2.270219e-06	0	0	0	NaN	0
CMTM7	534177	162687	0	1	0	0	50	22	24863356	8.848363e-07	1.435000e-06	1.872039e-06	0	NaN	0
CMTM8	529480	154574	0	1	0	0	50	36	23854782	1.509131e-06	1.461873e-06	1.888645e-06	0	NaN	0
CMYA5	12247214	3457846	0	18	6	0	5	10	7888398	1.267685e-06	1.528170e-06	1.469722e-06	1.735184e-06	NaN	1.735184e-06
CNBD1	1403549	332206	0	5	1	0	50	142	28845985	4.922695e-06	3.456709e-06	3.562398e-06	3.010180e-06	NaN	3.010180e-06
CNBP	574742	137494	0	0	0	0	50	27	20975948	1.287189e-06	0	0	0	NaN	0
CNDP1	1564528	444080	0	5	0	0	23	41	15084629	2.717999e-06	2.489286e-06	3.195852e-06	0	NaN	0
CNDP2	1479982	405650	0	1	2	0	50	65	27081194	2.400190e-06	1.590979e-06	6.756839e-07	4.930359e-06	NaN	4.930359e-06
CNFN	352275	97356	0	0	0	0	50	36	23930361	1.504365e-06	0	0	0	NaN	0
CNGA1	2361737	602497	0	4	0	0	19	19	11553339	1.644546e-06	1.349421e-06	1.693669e-06	0	NaN	0
CNGA2	2018002	568337	0	4	0	0	14	16	10112641	1.582178e-06	1.546588e-06	1.982159e-06	0	NaN	0
CNGA3	2105110	601643	0	6	7	0	18	25	4892993	5.109347e-06	4.802802e-06	2.850207e-06	1.163481e-05	NaN	1.163481e-05
CNGA4	1726788	514962	0	5	1	0	50	64	24099453	2.655662e-06	2.676480e-06	2.895549e-06	1.941891e-06	NaN	1.941891e-06
CNGB1	3932243	1079029	0	11	1	0	28	22	14202874	1.548982e-06	2.394602e-06	2.797386e-06	9.267592e-07	NaN	9.267592e-07
CNGB3	2536807	665693	0	8	4	0	2	5	1821155	2.745510e-06	3.747073e-06	3.153571e-06	6.008776e-06	NaN	6.008776e-06
CNIH	463722	115290	0	0	0	0	50	18	15314782	1.175335e-06	0	0	0	NaN	0
CNIH2	512827	131516	0	0	0	0	50	40	23516171	1.700957e-06	0	0	0	NaN	0
CNIH3	516670	127673	0	0	1	0	8	20	5715395	3.499321e-06	1.551968e-06	0	7.832510e-06	NaN	7.832510e-06
CNIH4	453047	108031	0	1	0	0	50	45	18879378	2.383553e-06	1.782283e-06	2.207277e-06	0	NaN	0
CNKSR1	2192645	656299	0	2	4	0	27	26	11800999	2.203203e-06	2.106044e-06	9.121404e-07	6.094783e-06	NaN	6.094783e-06
CNKSR2	3253313	840763	0	10	1	0	28	23	13740006	1.673944e-06	2.686809e-06	3.073790e-06	1.189396e-06	NaN	1.189396e-06
CNKSR3	1708000	490196	0	6	1	0	49	38	24518767	1.549833e-06	3.184429e-06	3.512881e-06	2.040000e-06	NaN	2.040000e-06
CNN1	925736	250222	0	0	0	0	50	40	24049921	1.663207e-06	0	0	0	NaN	0
CNN2	959469	262605	0	1	0	0	50	32	24485034	1.306921e-06	8.182811e-07	1.042243e-06	0	NaN	0
CNN3	1035475	263459	0	1	0	0	50	16	16973677	9.426361e-07	7.698621e-07	9.657404e-07	0	NaN	0
CNNM1	2796423	913353	0	6	0	0	8	3	3519334	8.524340e-07	1.617348e-06	2.145598e-06	0	NaN	0
CNNM2	2649108	804468	0	4	0	0	7	10	6292699	1.589143e-06	1.158220e-06	1.509942e-06	0	NaN	0
CNNM3	2041060	718214	0	3	1	0	50	21	21083125	9.960573e-07	1.449657e-06	1.469825e-06	1.392343e-06	NaN	1.392343e-06
CNNM4	2308362	707112	0	4	0	0	29	21	14298095	1.468727e-06	1.326491e-06	1.732830e-06	0	NaN	0
CNO	635376	204960	0	1	0	0	50	34	22608796	1.503839e-06	1.190000e-06	1.573871e-06	0	NaN	0
CNOT1	7604443	2055578	0	17	2	0	50	27	24574277	1.098710e-06	1.966869e-06	2.235535e-06	9.729623e-07	NaN	9.729623e-07
CNOT10	2360456	594811	0	2	0	0	17	9	7041230	1.278186e-06	6.767578e-07	8.472939e-07	0	NaN	0
CNOT2	1719102	436821	0	2	1	0	50	47	26795104	1.754052e-06	1.391515e-06	1.163398e-06	2.289267e-06	NaN	2.289267e-06
CNOT3	2334836	649894	0	3	2	0	50	90	36533693	2.463479e-06	1.675193e-06	1.284887e-06	3.077425e-06	NaN	3.077425e-06
CNOT4	2065399	577304	0	6	2	0	50	36	23577232	1.526897e-06	3.027204e-06	2.905008e-06	3.464379e-06	NaN	3.464379e-06
CNOT6	1743868	456890	0	1	2	0	50	42	22141231	1.896914e-06	1.363167e-06	5.734379e-07	4.377421e-06	NaN	4.377421e-06
CNOT6L	1742587	453047	0	4	1	0	50	46	20788495	2.212762e-06	2.277247e-06	2.295438e-06	2.207277e-06	NaN	2.207277e-06
CNOT7	912072	222894	0	1	0	0	50	43	23259971	1.848670e-06	8.810837e-07	1.096405e-06	0	NaN	0
CNOT8	928725	228018	0	3	0	0	50	25	20324346	1.230052e-06	2.593489e-06	3.230235e-06	0	NaN	0
CNP	1256661	380457	0	0	0	0	50	54	29527477	1.828805e-06	0	0	0	NaN	0
CNPY1	306586	66185	0	0	0	0	50	69	24642170	2.800078e-06	0	0	0	NaN	0
CNPY2	575596	153293	0	1	0	0	50	29	20646731	1.404581e-06	1.371951e-06	1.737330e-06	0	NaN	0
CNPY3	860405	237412	0	0	0	0	50	24	20581400	1.166101e-06	0	0	0	NaN	0
CNPY4	782691	201117	0	1	0	0	50	38	23593458	1.610616e-06	1.016458e-06	1.277643e-06	0	NaN	0
CNR1	1406965	415898	0	2	2	0	31	27	11859925	2.276574e-06	2.194350e-06	1.421499e-06	4.808871e-06	NaN	4.808871e-06
CNR2	1051701	340746	0	0	1	0	50	65	27889932	2.330590e-06	7.181602e-07	0	2.934737e-06	NaN	2.934737e-06
CNRIP1	561932	157990	0	0	1	0	1	3	564494	5.314494e-06	1.389039e-06	0	6.329515e-06	NaN	6.329515e-06
CNST	2260538	597373	0	2	2	0	50	51	22783866	2.238426e-06	1.399624e-06	8.847451e-07	3.347992e-06	NaN	3.347992e-06
CNTD1	1008147	294630	0	0	1	0	50	27	18707297	1.443287e-06	7.675911e-07	0	3.394087e-06	NaN	3.394087e-06
CNTD2	888587	318115	0	0	0	0	0	0	318115	0	0	0	0	NaN	0
CNTF	606767	173362	0	0	0	0	50	51	23581502	2.162712e-06	0	0	0	NaN	0
CNTFR	1128134	345016	0	0	0	0	50	35	21378182	1.637183e-06	0	0	0	NaN	0
CNTLN	4477095	1096536	0	5	3	0	0	3	1096536	2.735888e-06	1.435330e-06	1.116796e-06	2.735888e-06	NaN	2.735888e-06
CNTN1	3193533	840336	0	9	3	0	2	6	1277584	4.696364e-06	2.974812e-06	2.818195e-06	3.570001e-06	NaN	3.570001e-06
CNTN2	3163643	949648	0	5	5	0	50	54	21601503	2.499826e-06	2.431143e-06	1.580456e-06	5.265109e-06	NaN	5.265109e-06
CNTN3	3190971	873642	0	18	5	0	47	94	23473471	4.004521e-06	5.658595e-06	5.640916e-06	5.723168e-06	NaN	5.723168e-06
CNTN4	3187128	872361	0	11	3	0	5	16	3347680	4.779429e-06	3.448710e-06	3.451383e-06	3.438943e-06	NaN	3.438943e-06
CNTN5	3399347	949648	0	7	6	0	17	49	8911917	5.498256e-06	2.989196e-06	2.059219e-06	6.318131e-06	NaN	6.318131e-06
CNTN6	3206770	860405	0	14	2	0	5	6	2659783	2.255823e-06	3.933934e-06	4.365764e-06	2.324487e-06	NaN	2.324487e-06
CNTNAP1	4192286	1248121	0	9	0	0	11	3	4392976	6.829084e-07	1.654288e-06	2.146800e-06	0	NaN	0
CNTNAP2	4155564	1081164	0	23	8	0	24	96	14397159	6.667982e-06	5.919727e-06	5.534748e-06	7.399432e-06	NaN	7.399432e-06
CNTNAP3	3931389	1140090	0	4	1	0	0	1	1140090	8.771237e-07	9.859057e-07	1.017452e-06	8.771237e-07	NaN	8.771237e-07
CNTNAP4	4079985	1085007	0	12	7	0	2	7	1420202	4.928876e-06	3.678612e-06	2.941187e-06	6.451571e-06	NaN	6.451571e-06
CNTNAP5	4055219	1085434	0	24	3	0	0	3	1085434	2.763871e-06	5.252251e-06	5.918299e-06	2.763871e-06	NaN	2.763871e-06
CNTROB	2820762	832650	0	7	0	0	5	5	3698247	1.351992e-06	1.916017e-06	2.481599e-06	0	NaN	0
COASY	1774185	559797	0	1	1	0	50	20	18622751	1.073955e-06	8.569046e-07	5.636391e-07	1.786362e-06	NaN	1.786362e-06
COBL	3756746	1154608	0	9	2	0	0	2	1154608	1.732190e-06	2.239708e-06	2.395690e-06	1.732190e-06	NaN	1.732190e-06
COBLL1	3568439	982954	0	6	1	0	50	33	24857805	1.327551e-06	1.537991e-06	1.681407e-06	1.017342e-06	NaN	1.017342e-06
COBRA1	1761375	532896	0	3	0	0	30	25	13741714	1.819278e-06	1.307605e-06	1.703215e-06	0	NaN	0
COCH	1702022	471835	0	4	2	0	50	36	21096362	1.706455e-06	2.760071e-06	2.350146e-06	4.238770e-06	NaN	4.238770e-06
COG1	2974055	870226	0	1	0	0	15	5	8667673	5.768561e-07	2.601267e-07	3.362413e-07	0	NaN	0
COG2	2313913	613172	0	4	1	0	50	53	26462044	2.002869e-06	1.708184e-06	1.728673e-06	1.630864e-06	NaN	1.630864e-06
COG3	2619218	681919	0	2	0	0	8	8	4337893	1.844213e-06	6.058519e-07	7.635867e-07	0	NaN	0
COG4	2467206	663558	0	4	1	0	20	5	7824775	6.389960e-07	1.597054e-06	1.621267e-06	1.507027e-06	NaN	1.507027e-06
COG5	2675582	743407	0	6	0	0	4	0	1357860	0	1.754905e-06	2.242503e-06	0	NaN	0
COG6	2089311	564921	0	1	0	0	48	43	27146525	1.583996e-06	3.767568e-07	4.786267e-07	0	NaN	0
COG7	2387357	657580	0	7	2	0	6	6	2607262	2.301265e-06	2.955726e-06	2.932113e-06	3.041455e-06	NaN	3.041455e-06
COG8	1809199	577304	0	1	0	0	50	35	25222036	1.387675e-06	4.190231e-07	5.527308e-07	0	NaN	0
COIL	1750700	500017	0	1	0	0	9	1	2705045	3.696796e-07	4.443029e-07	5.712001e-07	0	NaN	0
COL10A1	1924916	702415	0	4	0	0	50	10	27344226	3.657079e-07	1.522458e-06	2.078013e-06	0	NaN	0
COL11A1	5749982	1733620	0	47	9	0	50	80	22632281	3.534774e-06	7.483028e-06	8.173939e-06	5.191449e-06	NaN	5.191449e-06
COL11A2	5315723	1786141	0	9	3	0	0	3	1786141	1.679599e-06	1.689697e-06	1.693090e-06	1.679599e-06	NaN	1.679599e-06
COL12A1	9415350	2692662	0	7	5	0	50	45	25086250	1.793811e-06	9.910793e-07	7.434668e-07	1.856898e-06	NaN	1.856898e-06
COL13A1	2249009	710101	0	2	1	0	27	23	12217324	1.882573e-06	1.013818e-06	8.892806e-07	1.408250e-06	NaN	1.408250e-06
COL14A1	5572350	1574349	0	23	7	0	50	68	24671206	2.756250e-06	4.197742e-06	4.127522e-06	4.446282e-06	NaN	4.446282e-06
COL15A1	4233278	1314733	0	11	3	0	13	6	4930569	1.216898e-06	2.523427e-06	2.598459e-06	2.281832e-06	NaN	2.281832e-06
COL16A1	4968999	1557696	0	9	5	0	1	6	1889475	3.175485e-06	2.145037e-06	1.811230e-06	3.209869e-06	NaN	3.209869e-06
COL17A1	4645333	1393301	0	9	1	0	4	4	3247762	1.231617e-06	1.656004e-06	1.937428e-06	7.177200e-07	NaN	7.177200e-07
COL18A1	5293946	1797670	0	4	3	0	32	20	18948552	1.055490e-06	9.870811e-07	7.555801e-07	1.668827e-06	NaN	1.668827e-06
COL19A1	3597475	1051274	0	18	5	0	2	11	2132011	5.159448e-06	4.947568e-06	5.003509e-06	4.756134e-06	NaN	4.756134e-06
COL1A1	4397673	1488522	0	9	3	0	13	7	7725711	9.060655e-07	2.038668e-06	2.046537e-06	2.015422e-06	NaN	2.015422e-06
COL1A2	4120550	1394155	0	20	3	0	2	4	1751554	2.283686e-06	4.170667e-06	4.853721e-06	2.151841e-06	NaN	2.151841e-06
COL20A1	3811402	1231895	0	5	1	0	8	4	4921175	8.128140e-07	1.189698e-06	1.311853e-06	8.117575e-07	NaN	8.117575e-07
COL21A1	2971493	858697	0	4	2	0	10	16	5860148	2.730306e-06	1.566502e-06	1.346125e-06	2.329110e-06	NaN	2.329110e-06
COL22A1	4982236	1598261	0	41	9	0	50	94	21417466	4.388941e-06	7.598210e-06	8.229237e-06	5.631120e-06	NaN	5.631120e-06
COL23A1	1672559	549976	0	2	1	0	19	12	8682191	1.382140e-06	1.349810e-06	1.195772e-06	1.818261e-06	NaN	1.818261e-06
COL24A1	5328106	1567517	0	18	1	0	0	1	1567517	6.379516e-07	2.755371e-06	3.378311e-06	6.379516e-07	NaN	6.379516e-07
COL25A1	2156350	650321	0	6	4	0	20	30	8861531	3.385420e-06	3.562940e-06	2.782480e-06	6.150809e-06	NaN	6.150809e-06
COL27A1	5604802	1853180	0	8	4	0	34	30	14275464	2.101508e-06	1.609014e-06	1.427347e-06	2.158452e-06	NaN	2.158452e-06
COL28A1	3497130	1006866	0	9	2	0	50	46	24979927	1.841479e-06	2.442276e-06	2.573539e-06	1.986362e-06	NaN	1.986362e-06
COL2A1	4488624	1501332	0	6	3	0	36	22	17467716	1.259466e-06	1.502515e-06	1.336713e-06	1.998226e-06	NaN	1.998226e-06
COL3A1	4429271	1464610	0	11	3	0	3	3	2939468	1.020593e-06	2.375345e-06	2.483479e-06	2.048327e-06	NaN	2.048327e-06
COL4A1	5063366	1615768	0	8	2	0	43	34	21915775	1.551394e-06	1.497200e-06	1.579977e-06	1.237801e-06	NaN	1.237801e-06
COL4A2	5153036	1670851	0	7	1	0	8	5	5200006	9.615374e-07	1.172352e-06	1.358422e-06	5.984974e-07	NaN	5.984974e-07
COL4A3	5152182	1625589	0	11	5	0	50	67	25977826	2.579123e-06	2.360658e-06	2.135018e-06	3.075808e-06	NaN	3.075808e-06
COL4A3BP	2348927	642208	0	4	1	0	0	1	642208	1.557128e-06	1.671606e-06	1.702905e-06	1.557128e-06	NaN	1.557128e-06
COL4A4	5083435	1654625	0	11	4	0	32	23	14205009	1.619147e-06	2.226160e-06	2.163891e-06	2.417466e-06	NaN	2.417466e-06
COL4A5	5099234	1650355	0	12	2	0	32	18	13833092	1.301228e-06	2.074200e-06	2.353295e-06	1.211860e-06	NaN	1.211860e-06
COL4A6	5078311	1667435	0	2	5	0	49	30	20324346	1.476062e-06	1.037691e-06	3.938317e-07	2.998618e-06	NaN	2.998618e-06
COL5A1	5626579	1773758	0	20	4	0	5	7	4000563	1.749754e-06	3.243096e-06	3.554558e-06	2.255099e-06	NaN	2.255099e-06
COL5A2	4553528	1482544	0	12	0	0	29	6	17888311	3.354146e-07	1.988048e-06	2.635319e-06	0	NaN	0
COL5A3	5291811	1758813	0	8	3	0	40	15	20427680	7.342978e-07	1.560146e-06	1.511770e-06	1.705696e-06	NaN	1.705696e-06
COL6A1	3184566	946659	0	5	4	0	3	9	2357467	3.817657e-06	2.178531e-06	1.570073e-06	4.225386e-06	NaN	4.225386e-06
COL6A2	3443328	1032486	0	8	3	0	12	17	7207760	2.358569e-06	2.457654e-06	2.323334e-06	2.905608e-06	NaN	2.905608e-06
COL6A3	9572059	2921534	0	18	9	0	24	36	15946742	2.257514e-06	2.161108e-06	1.880473e-06	3.080573e-06	NaN	3.080573e-06
COL6A5	7815808	2095289	0	6	2	0	3	6	3844281	1.560760e-06	8.071760e-07	7.676749e-07	9.545223e-07	NaN	9.545223e-07
COL6A6	6940458	1941996	0	23	8	0	11	15	5665009	2.647833e-06	3.490027e-06	3.313902e-06	4.119473e-06	NaN	4.119473e-06
COL7A1	8918749	2999675	0	6	3	0	0	3	2999675	1.000108e-06	7.551334e-07	6.727401e-07	1.000108e-06	NaN	1.000108e-06
COL8A1	2118347	754936	0	5	1	0	47	31	24380419	1.271512e-06	2.088204e-06	2.360331e-06	1.324616e-06	NaN	1.324616e-06
COL8A2	1945839	767319	0	5	1	0	50	39	22429883	1.738752e-06	2.211445e-06	2.569586e-06	1.303239e-06	NaN	1.303239e-06
COL9A1	2921107	906521	0	3	0	0	2	1	1543178	6.480134e-07	7.837752e-07	1.027008e-06	0	NaN	0
COL9A2	2112796	700280	0	5	0	0	50	40	24738672	1.616902e-06	1.777414e-06	2.366532e-06	0	NaN	0
COL9A3	2076074	717787	0	3	1	0	5	4	2332701	1.714750e-06	1.431710e-06	1.445035e-06	1.393171e-06	NaN	1.393171e-06
COLEC10	875350	221186	0	1	1	0	50	56	19640719	2.851219e-06	1.823926e-06	1.142400e-06	4.521082e-06	NaN	4.521082e-06
COLEC11	960750	221613	0	3	3	0	9	5	1915949	2.609673e-06	5.074584e-06	3.122560e-06	1.353711e-05	NaN	1.353711e-05
COLEC12	2276764	624701	0	3	2	0	17	23	6859328	3.353098e-06	1.723267e-06	1.317660e-06	3.201532e-06	NaN	3.201532e-06
COLQ	1494073	440237	0	1	0	0	50	54	39183655	1.378126e-06	5.169802e-07	6.693113e-07	0	NaN	0
COMMD1	582428	164395	0	0	0	0	50	37	28334012	1.305851e-06	0	0	0	NaN	0
COMMD10	644770	168665	0	1	0	0	50	39	22681813	1.719439e-06	1.229355e-06	1.550941e-06	0	NaN	0
COMMD2	624274	167384	0	1	0	0	50	36	26488518	1.359079e-06	1.263172e-06	1.601861e-06	0	NaN	0
COMMD3	629398	162260	0	0	0	0	50	45	19765403	2.276705e-06	0	0	0	NaN	0
COMMD4	625982	181048	0	0	0	0	50	32	21129668	1.514458e-06	0	0	0	NaN	0
COMMD5	652456	217343	0	1	0	0	50	31	23255701	1.333006e-06	1.149691e-06	1.532670e-06	0	NaN	0
COMMD6	321104	82411	0	0	0	0	50	35	23950857	1.461326e-06	0	0	0	NaN	0
COMMD7	655872	157563	0	1	0	0	50	24	19340965	1.240889e-06	1.229355e-06	1.524688e-06	0	NaN	0
COMMD8	583282	146888	0	1	0	0	50	40	19672317	2.033314e-06	1.369544e-06	1.714437e-06	0	NaN	0
COMMD9	611891	181048	0	0	0	0	50	25	23432906	1.066876e-06	0	0	0	NaN	0
COMP	2374974	632814	0	0	0	0	27	10	6646682	1.504510e-06	0	0	0	NaN	0
COMT	813862	249368	0	1	1	0	17	17	6479725	2.623568e-06	1.881061e-06	1.228710e-06	4.010138e-06	NaN	4.010138e-06
COMTD1	780983	265594	0	2	0	0	4	1	2389492	4.184990e-07	1.910992e-06	2.560875e-06	0	NaN	0
COPA	3857518	1048712	0	3	5	0	3	7	2028250	3.451251e-06	1.630580e-06	7.777021e-07	4.767753e-06	NaN	4.767753e-06
COPB1	2982168	791658	0	6	1	0	31	16	14697340	1.088632e-06	1.854881e-06	2.011959e-06	1.263172e-06	NaN	1.263172e-06
COPB2	2857484	735721	0	9	2	0	19	15	6837551	2.193768e-06	3.061334e-06	3.149624e-06	2.718422e-06	NaN	2.718422e-06
COPE	963739	272426	0	1	0	0	50	32	22611358	1.415218e-06	8.089535e-07	1.037625e-06	0	NaN	0
COPG	2742621	740418	0	0	0	0	1	1	1216950	8.217264e-07	0	0	0	NaN	0
COPG2	1285697	324520	0	1	0	0	50	24	19442591	1.234403e-06	6.210343e-07	7.777882e-07	0	NaN	0
COPS2	1464610	332633	0	4	0	0	19	17	10461073	1.625072e-06	2.225631e-06	2.731102e-06	0	NaN	0
COPS3	1350601	337757	0	1	0	0	50	30	21439243	1.399303e-06	5.922914e-07	7.404111e-07	0	NaN	0
COPS4	1285697	324520	0	3	0	0	50	27	21941395	1.230551e-06	1.863103e-06	2.333365e-06	0	NaN	0
COPS5	1058533	264740	0	0	0	0	50	35	18937023	1.848231e-06	0	0	0	NaN	0
COPS6	1035048	274134	0	2	0	0	50	54	30492924	1.770903e-06	1.527671e-06	1.932278e-06	0	NaN	0
COPS7A	839909	256627	0	0	0	0	50	44	25901820	1.698722e-06	0	0	0	NaN	0
COPS7B	821121	228018	0	1	0	0	50	27	26681095	1.011952e-06	9.531625e-07	1.217847e-06	0	NaN	0
COPS8	665693	177205	0	0	0	0	50	24	20121094	1.192778e-06	0	0	0	NaN	0
COPZ1	579866	147742	0	1	0	0	50	27	19920831	1.355365e-06	1.374366e-06	1.724536e-06	0	NaN	0
COPZ2	673379	175924	0	0	0	0	50	43	25017930	1.718767e-06	0	0	0	NaN	0
COQ10A	789096	238266	0	3	0	0	50	23	21268016	1.081436e-06	2.920100e-06	3.801819e-06	0	NaN	0
COQ10B	731024	210511	0	1	0	0	50	46	24885987	1.848430e-06	1.062095e-06	1.367944e-06	0	NaN	0
COQ2	1250256	402234	0	0	0	0	50	31	24502541	1.265175e-06	0	0	0	NaN	0
COQ3	1137955	317261	0	2	0	0	41	38	25544848	1.487580e-06	1.374366e-06	1.757539e-06	0	NaN	0
COQ4	792085	260897	0	0	2	0	21	14	6706889	2.087406e-06	1.899368e-06	0	7.665860e-06	NaN	7.665860e-06
COQ5	1024800	269010	0	5	1	0	50	32	22354304	1.431492e-06	4.637466e-06	4.879001e-06	3.717334e-06	NaN	3.717334e-06
COQ6	1481263	380030	0	1	1	0	50	38	27124748	1.400935e-06	1.074522e-06	6.750996e-07	2.631371e-06	NaN	2.631371e-06
COQ7	677222	188734	0	1	1	0	12	7	5497198	1.273376e-06	2.309586e-06	1.476621e-06	5.298462e-06	NaN	5.298462e-06
COQ9	990213	281820	0	0	0	0	46	24	19372136	1.238893e-06	0	0	0	NaN	0
CORIN	3308396	810019	0	4	3	0	11	13	7569002	1.717532e-06	1.699683e-06	1.209045e-06	3.703617e-06	NaN	3.703617e-06
CORO1A	1401414	424011	0	2	0	0	50	10	27065822	3.694697e-07	1.095635e-06	1.427130e-06	0	NaN	0
