gene	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	r_x_X	r_n_N	r_nns_Nns	r_ns_Ns	r_nnc_Nnc	r_nsnc_Nsnc
ADORA3	1782725	502579	0	1	1	0	39	38	18650933	2.037432e-06	8.751571e-07	5.609390e-07	1.989737e-06	NaN	1.989737e-06
ADPGK	1487668	455609	0	3	0	0	35	17	14936460	1.138155e-06	1.543784e-06	2.016579e-06	0	NaN	0
ADPRH	1086288	304878	0	2	2	0	5	4	1562820	2.559476e-06	2.875286e-06	1.841132e-06	6.560001e-06	NaN	6.560001e-06
ADPRHL1	1100379	297192	0	2	0	0	50	37	21010108	1.761057e-06	1.431054e-06	1.817556e-06	0	NaN	0
ADPRHL2	1094401	332633	0	0	0	0	50	31	22631854	1.369751e-06	0	0	0	NaN	0
ADRA1A	1661030	503860	0	6	1	0	20	18	7391370	2.435272e-06	3.233421e-06	3.612217e-06	1.984678e-06	NaN	1.984678e-06
ADRA1B	1506456	500871	0	2	0	0	6	2	2339960	8.547155e-07	9.963499e-07	1.327619e-06	0	NaN	0
ADRA1D	1633275	576450	0	1	0	0	9	10	3554348	2.813456e-06	4.525450e-07	6.122668e-07	0	NaN	0
ADRA2A	1332240	458598	0	0	0	0	50	16	21969577	7.282798e-07	0	0	0	NaN	0
ADRA2B	1292102	429562	0	3	1	0	50	33	22250543	1.483110e-06	2.323334e-06	2.321798e-06	2.327953e-06	NaN	2.327953e-06
ADRA2C	1307047	474824	0	2	4	0	8	14	3279787	4.268570e-06	3.367247e-06	1.530167e-06	8.424174e-06	NaN	8.424174e-06
ADRB1	1345904	493612	0	2	1	0	50	43	22138669	1.942303e-06	1.630864e-06	1.485990e-06	2.025883e-06	NaN	2.025883e-06
ADRB2	1232749	358253	0	0	1	0	50	29	19681284	1.473481e-06	6.285347e-07	0	2.791323e-06	NaN	2.791323e-06
ADRB3	1140090	436821	0	2	0	0	50	37	20697544	1.787652e-06	1.268302e-06	1.754247e-06	0	NaN	0
ADRBK1	2186240	567910	0	6	3	0	1	3	1149484	2.609867e-06	3.267796e-06	2.744438e-06	5.282527e-06	NaN	5.282527e-06
ADRBK2	2224243	526064	0	2	1	0	17	32	11658381	2.744807e-06	1.090787e-06	8.991823e-07	1.900909e-06	NaN	1.900909e-06
ADRM1	1241289	374052	0	1	1	0	50	35	24035830	1.456159e-06	1.238129e-06	8.056142e-07	2.673425e-06	NaN	2.673425e-06
